"id" "log2FoldChange"
"200" "YDL227C" -1.68971020369482
"201" "YOR197W" 1.0605211075103
"202" "YNL081C" -0.783871946445859
"203" "YKL096W-A" 0.532249481269099
"204" "YDR532C" -0.754585643091219
"205" "YDR049W" 0.396634269905313
"206" "YKL170W" -0.739800024120973
"207" "YGL047W" 0.254900022367579
"208" "YJL043W" -1.03500628979708
"209" "YHR079C" -0.588085830311933
"210" "YLR006C" -0.18185774507685
"211" "YPR171W" -1.44355701400865
"212" "YML063W" 3.72609081754334
"213" "YHL029C" 0.947673437366472
"214" "YLR178C" -2.57730257521696
"215" "YJL090C" -0.750935447164789
"216" "YOR184W" 0.280113154100545
"217" "YDR372C" 1.22624743353489
"218" "YBR008C" 0.390282539975486
"219" "YMR203W" 2.06719804235451
"220" "YIR008C" 0.842983458685105
"221" "YBL024W" 2.00348868701287
"222" "YDR317W" -1.18217121926472
"223" "YJL038C" -1.39355331374189
"224" "YJL087C" 1.30909620431052
"225" "YDR043C" -1.01678822608688
"226" "YHR028C" -2.01231436620611
"227" "YOR340C" 1.86641844106672
"228" "YCL044C" 0.928227971063297
"229" "YFR022W" -3.77133840232341
"230" "YEL072W" -0.0253605949776856
"231" "YIR010W" 0.986814465927803
"232" "YBL008W" -0.757377024794399
"233" "YMR178W" -1.60488248092099
"234" "YHR017W" -0.874584669482987
"235" "YMR095C" 0.840794649549233
"236" "YKR101W" -1.63649558779778
"237" "YHR198C" -1.55980906736147
"238" "YOR076C" -1.75717664062903
"239" "YNL219C" 0.261707900341653
"240" "YGL015C" -0.870734872899357
"241" "YLR210W" -0.881331781807154
"242" "YIL034C" 1.07633491916662
"243" "YLR148W" 0.0684429725576015
"244" "YOR342C" -0.22374979093664
"245" "YOL070C" -1.41186301545209
"246" "YLR124W" 0.219309114012678
"247" "YIL043C" 1.06223069381317
"248" "YDL160C" 2.46540182983816
"249" "YPR202W" 1.12128835614209
"250" "YGR231C" -0.933357691182552
"251" "YMR266W" 1.00489644372037
"252" "YNL021W" 1.50285881466844
"253" "YGR034W" 2.90023293436257
"254" "YPL107W" 0.84548509498245
"255" "YHR173C" -1.59195254378149
"256" "YGR088W" -2.8501363544253
"257" "YCR063W" 2.93908166996345
"258" "YDL048C" -2.47945186827043
"259" "YML092C" 1.87792753754147
"260" "YPR097W" 0.553195027785354
"261" "YBR201C-A" 0.223179347030462
"262" "YNL056W" 0.978511568422226
"263" "YDL025C" -0.797179580961932
"264" "YAL020C" -3.09366113962593
"265" "YFL017C" -3.70672399683116
"266" "YGL197W" 0.101196688623271
"267" "YLL011W" 1.73632427021277
"268" "YDR379C-A" -1.06504093244269
"269" "YLR189C" 0.786498164685701
"270" "YDR113C" -2.27205134807064
"271" "YML032C" -0.725398671413778
"272" "YFL028C" -0.0348492148483353
"273" "YDL247W" -2.80842448425862
"274" "YBR256C" -3.94182037440998
"275" "YOR081C" -0.571545938044216
"276" "YPL024W" -1.26731100472627
"277" "YLR442C" -2.07138405475104
"278" "YMR257C" -0.144674832459854
"279" "YDL219W" -0.328555195302673
"280" "YKL122C" 0.214552175980647
"281" "YGL240W" -1.03634102725204
"282" "YDL080C" -0.485702884206558
"283" "YEL001C" 2.18398780351632
"284" "YPR168W" -0.218163008843617
"285" "YLR374C" 1.52589658895032
"286" "YHR109W" 0.158727555035176
"287" "YPL061W" 0.161138793407377
"288" "YJL060W" -2.06409518100518
"289" "YPR062W" 1.97335173833761
"290" "YLR240W" 0.0336468724663944
"291" "YGR104C" -0.711193640318295
"292" "YDR223W" -2.87976601906656
"293" "YER174C" -1.27949222910827
"294" "YLR037C" -0.15749394465461
"295" "YDR402C" -2.68039983748565
"296" "YGR241C" -1.44619578047852
"297" "YPR057W" -0.66787323685164
"298" "YGL062W" 1.23181046668134
"299" "YDR156W" 0.579637372652043
"300" "YJR113C" 0.908607501263039
"301" "YPR131C" -1.45336832452495
"302" "YLR416C" 0.275145026813496
"303" "YLR029C" 4.00351379931625
"304" "YMR155W" -1.70295953610668
"305" "YNL180C" 1.01971505362248
"306" "YIL140W" -2.71830115311409
"307" "YDR272W" -1.77178613801796
"308" "YOR238W" -0.713475895850966
"309" "YNR044W" -1.29938877298595
"310" "YLR139C" -0.192704178636408
"311" "YKL142W" -1.86419923345268
"312" "YHR032W" 1.47034939838061
"313" "YDR429C" 2.67076002749997
"314" "YNR031C" 0.685854566386607
"315" "YGL079W" -2.93246027869025
"316" "YHR084W" 0.391752922697606
"317" "YOR004W" 2.56077196627852
"318" "YMR244W" 0.911644483266615
"319" "YMR233W" -0.597124110925704
"320" "YLL010C" -1.47324907506389
"321" "YNL188W" -0.438792686076598
"322" "YOR365C" -0.728084858855388
"323" "YIL005W" -1.59452215839302
"324" "YNR030W" -1.02272797620882
"325" "YBR265W" 0.0821501216008257
"326" "YGL131C" -0.413966064598804
"327" "YDL162C" NA
"328" "YHR033W" -0.53838605203133
"329" "YNR040W" -0.278943662154161
"330" "YNR034W" 1.30045814131369
"331" "YOR173W" -3.18894279163555
"332" "YOR337W" 1.01354817814999
"333" "YNL181W" -0.368788478237181
"334" "YGL104C" -1.69712483336341
"335" "YGR243W" -1.46302911543356
"336" "YDR164C" -1.43092855037456
"337" "YOR107W" -3.07045207949297
"338" "YDR464W" -0.617990389153554
"339" "YGR210C" 1.20151022918891
"340" "YLR012C" 0.249385393300897
"341" "YOR168W" 1.17930317370026
"342" "YNL002C" 1.10555601591368
"343" "YLR054C" -0.0483835166165092
"344" "YHR193C" 3.15096772712835
"345" "YNL294C" -0.488174158982738
"346" "YOR005C" -1.66412852809579
"347" "YPR147C" -1.12313350177741
"348" "YBR092C" -0.897555365348316
"349" "YOR242C" -0.984776522634039
"350" "YLR077W" -2.66994235378125
"351" "YCR081W" -0.117269540950487
"352" "YJR127C" -0.348626643107094
"353" "YJL176C" 0.882703745109267
"354" "YLR453C" -3.36487340453212
"355" "YHR128W" 2.25186876516321
"356" "YOR297C" -0.680017615144734
"357" "YDR225W" 1.14675064950043
"358" "YPR020W" -2.57360837430558
"359" "YJR003C" 0.308682296194383
"360" "YHR136C" -3.72234383340436
"361" "YIL101C" -3.45364413245956
"362" "YPR114W" -0.777636952150085
"363" "YPL189W" 0.123567406393288
"364" "YJL056C" -0.12650427359159
"365" "YLR264C-A" NA
"366" "YPL247C" -2.07318559616095
"367" "YDR482C" 2.12716781712368
"368" "YBL058W" -2.25834650572106
